headline,text,timestamp
"German FM visits Israel, doubts military solution for Gaza","Germany's top diplomat said the release of Israeli hostages was a top priority for Berlin. He added that there should be room for criticizing Israel and this ""must not lead to antisemitism.""",2025-05-14T10:24:56Z
Germany turns first asylum seekers away at border — report,"In the two days since the new German government under Chancellor Friedrich Merz tightened border controls, 19 people who had applied for asylum have reportedly been turned away.",2025-05-14T10:24:56Z
Is Karsten Wildberger Germany's Elon Musk?,Chancellor Friedrich Merz has created a whole new government department aimed at stripping down the state apparatus and appointed a top businessman to head it. Sound familiar?,2025-05-14T10:24:56Z
Germany's massive spending spree: How will the EU react?,"Germany's new finance minister brought a bold plan to Brussels: A €1 trillion spending splurge on defence and infrastructure. But as EU fiscal rules tighten, the question is whether Brussels goes along or pushes back.",2025-05-14T10:24:56Z
What is Germany's 'Reichsbürger' movement?,"The Reichsbürger are often radical and violent and do not recognize Germany as a legitimate state, and have increasingly drawn the attention of authorities. Who are they, and what kind of danger do they pose?",2025-05-14T10:24:56Z
Germany tightens border protections: Facts and figures,German Interior Minister Alexander Dobrindt has ordered asylum seekers to be turned away at the border. The move is legally and politically controversial.,2025-05-14T10:24:56Z
Germany and Israel mark anniversary in shadow of war,"Germany and Israel are commemorating the beginning of their postwar relationship, with the war in Gaza omnipresent.",2025-05-14T10:24:56Z
How should Germany deal with the far-right AfD party?,There's growing concern that German society is becoming increasingly polarized. The question of how to treat the AfD party threatens to further deepen the divide.,2025-05-14T10:24:56Z
Fact check: Germany's AfD no longer 'right-wing extremist'?,"The AfD and its supporters claim that Germany's domestic intelligence agency no longer classifies the party as ""right-wing extremist."" The facts, however, tell a different story.",2025-05-14T10:24:56Z
80 years after WWII: Is the US turning its back on Europe?,"World War Two ended in Europe 80 years ago. Since then, the US has ensured security in Europe. But Donald Trump is now calling this arrangement into question.",2025-05-14T10:24:56Z
SIPRI arms report: New record in global military spending,"Global military spending reached a new high in 2024. Germany, too, spent significantly more on defense.",2025-05-14T10:24:56Z
Syrian doctors leave Germany to work for free at home,"After working in Germany, Syrian doctors are returning to their homeland to help rebuild Syria's shattered health system. German hospitals worry they won't return.",2025-05-14T10:24:56Z
Data Privacy Policy,The protection of your personal data is very important to us at Deutsche Welle. We want you to feel safe when using our websites. We explain here what data we collect and how we use it.,2025-05-14T10:24:56Z
Legal notice,Deutsche Welle,2025-05-14T10:24:56Z
Accessibility statement,Declaration on Digital Accessibility on DW.com,2025-05-14T10:24:56Z
